date,state,district,pincode,bio_age_5_17,bio_age_17_
01-04-2025,Karnataka,Bangalore,560026,215,594
01-04-2025,Karnataka,Bangalore,560001,33,123
01-04-2025,Karnataka,Bangalore,560087,43,62
01-04-2025,Karnataka,Bangalore,560010,95,255
01-04-2025,Karnataka,Bangalore,560070,65,223
01-04-2025,Karnataka,Bangalore,560105,42,81
01-03-2025,Karnataka,Bangalore,560049,53,126
01-03-2025,Karnataka,Bangalore,560017,28,125
01-03-2025,Karnataka,Bangalore,560030,56,184
01-03-2025,Karnataka,Bangalore,560060,73,316
01-03-2025,Karnataka,Bangalore,560015,33,122
01-03-2025,Karnataka,Bangalore,560001,20,112
01-03-2025,Karnataka,Bangalore,560058,79,353
01-03-2025,Karnataka,Bangalore,560073,56,208
01-03-2025,Karnataka,Bangalore,560034,17,91
01-03-2025,Karnataka,Bangalore,560003,24,199
01-03-2025,Karnataka,Bangalore,560039,33,189
01-03-2025,Karnataka,Bangalore,560068,150,493
01-03-2025,Karnataka,Bangalore,560062,60,180
01-03-2025,Karnataka,Bangalore,560022,47,238
01-03-2025,Karnataka,Bangalore,560061,49,163
01-04-2025,Karnataka,Bangalore,560054,44,146
01-04-2025,Karnataka,Bangalore,560011,71,195
01-04-2025,Karnataka,Bangalore,560078,149,357
01-03-2025,Karnataka,Bangalore,562106,129,330
01-04-2025,Karnataka,Bangalore,560056,62,192
01-04-2025,Karnataka,Bangalore,560073,86,188
01-04-2025,Karnataka,Bangalore,560019,19,84
01-04-2025,Karnataka,Bangalore,560036,81,170
01-04-2025,Karnataka,Bangalore,560076,153,292
01-05-2025,Karnataka,Bangalore,560098,64,76
01-05-2025,Karnataka,Bangalore,560068,272,511
01-05-2025,Karnataka,Bangalore,562157,42,52
01-05-2025,Karnataka,Bangalore,560061,96,157
01-05-2025,Karnataka,Bangalore,560035,39,79
01-05-2025,Karnataka,Bangalore,560103,41,54
01-05-2025,Karnataka,Bangalore,560102,64,112
01-05-2025,Karnataka,Bangalore,560070,76,208
01-05-2025,Karnataka,Bangalore,562125,70,102
01-05-2025,Karnataka,Bangalore,560082,33,59
01-05-2025,Karnataka,Bangalore,560050,79,123
01-05-2025,Karnataka,Bangalore,560090,83,115
01-05-2025,Karnataka,Bangalore,560021,133,373
01-04-2025,Karnataka,Bangalore,560041,36,112
01-04-2025,Karnataka,Bangalore,560084,78,299
01-04-2025,Karnataka,Bangalore,560004,26,126
01-04-2025,Karnataka,Bangalore,562130,35,104
01-04-2025,Karnataka,Bangalore,560035,36,52
01-04-2025,Karnataka,Bangalore,560067,45,112
01-04-2025,Karnataka,Bangalore,560103,53,67
01-05-2025,Karnataka,Bangalore,560091,285,459
01-05-2025,Karnataka,Bangalore,560036,109,189
01-05-2025,Karnataka,Bangalore,560053,56,122
01-06-2025,Karnataka,Bangalore,562106,96,333
11-09-2025,Karnataka,Bangalore,560035,0,1
26-10-2025,Karnataka,Bangalore,560067,2,7
26-10-2025,Karnataka,Bangalore,562157,1,3
24-10-2025,Karnataka,Bangalore,560104,1,0
19-10-2025,Karnataka,Bangalore,560069,2,0
19-10-2025,Karnataka,Bangalore,560092,3,3
19-10-2025,Karnataka,Bangalore,560105,2,7
19-10-2025,Karnataka,Bangalore,560106,0,1
20-10-2025,Karnataka,Bangalore,560053,0,2
20-10-2025,Karnataka,Bangalore,560089,1,0
21-10-2025,Karnataka,Bangalore,560087,0,1
02-11-2025,Karnataka,Bangalore,560025,0,1
02-11-2025,Karnataka,Bangalore,560082,2,0
02-11-2025,Karnataka,Bangalore,562107,5,17
18-10-2025,Karnataka,Bangalore,560095,0,1
29-10-2025,Karnataka,Bangalore,562109,0,1
28-10-2025,Karnataka,Bangalore,560059,0,1
01-11-2025,Karnataka,Bangalore,560033,3,7
01-11-2025,Karnataka,Bangalore,560071,0,1
31-10-2025,Karnataka,Bangalore,560059,0,3
09-11-2025,Karnataka,Bangalore,560089,0,1
09-11-2025,Karnataka,Bangalore,560104,0,1
09-11-2025,Karnataka,Bangalore,562106,0,4
12-11-2025,Karnataka,Bangalore,560052,0,2
13-11-2025,Karnataka,Bangalore,560007,1,0
13-11-2025,Karnataka,Bangalore,562110,0,1
15-11-2025,Karnataka,Bangalore,560009,0,1
08-11-2025,Karnataka,Bangalore,560089,0,3
03-11-2025,Karnataka,Bangalore,560012,0,1
03-11-2025,Karnataka,Bangalore,561203,0,3
20-10-2025,Karnataka,Bangalore,560066,0,1
20-10-2025,Karnataka,Bangalore,560087,0,1
25-10-2025,Karnataka,Bangalore,560063,0,1
24-10-2025,Karnataka,Bangalore,561203,0,1
26-10-2025,Karnataka,Bangalore,560008,0,1
26-10-2025,Karnataka,Bangalore,560013,0,2
26-10-2025,Karnataka,Bangalore,560052,0,1
26-10-2025,Karnataka,Bangalore,560066,0,1
27-10-2025,Karnataka,Bangalore,560088,0,1
19-10-2025,Karnataka,Bangalore,560025,0,1
19-10-2025,Karnataka,Bangalore,562149,1,1
22-10-2025,Karnataka,Bangalore,560012,0,1
22-10-2025,Karnataka,Bangalore,560086,0,5
02-11-2025,Karnataka,Bangalore,560061,0,1
01-11-2025,Karnataka,Bangalore,560016,0,4
01-11-2025,Karnataka,Bangalore,560057,0,1
01-11-2025,Karnataka,Bangalore,560061,0,1
01-11-2025,Karnataka,Bangalore,562123,1,4
09-11-2025,Karnataka,Bangalore,560036,1,2
09-11-2025,Karnataka,Bangalore,560041,0,1
09-11-2025,Karnataka,Bangalore,560059,1,1
09-11-2025,Karnataka,Bangalore,560088,0,1
10-11-2025,Karnataka,Bangalore,560088,0,2
05-11-2025,Karnataka,Bangalore,560042,0,1
11-11-2025,Karnataka,Bangalore,560080,0,1
30-10-2025,Karnataka,Bangalore,560046,0,7
30-10-2025,Karnataka,Bangalore,560055,0,1
30-10-2025,Karnataka,Bangalore,560088,0,1
31-10-2025,Karnataka,Bangalore,560009,0,1
31-10-2025,Karnataka,Bangalore,562159,0,1
23-10-2025,Karnataka,Bangalore,562110,0,3
14-10-2025,Karnataka,Bangalore,562129,0,1
15-10-2025,Karnataka,Bangalore,560007,0,1
15-10-2025,Karnataka,Bangalore,560025,0,1
15-10-2025,Karnataka,Bangalore,562110,0,3
17-10-2025,Karnataka,Bangalore,560013,0,1
17-10-2025,Karnataka,Bangalore,560095,0,1
17-10-2025,Karnataka,Bangalore,562110,0,1
19-08-2025,Karnataka,Bangalore,560095,0,2
22-08-2025,Karnataka,Bangalore,560014,0,1
22-08-2025,Karnataka,Bangalore,560089,0,3
21-08-2025,Karnataka,Bangalore,560012,0,2
17-08-2025,Karnataka,Bangalore,560049,0,2
17-08-2025,Karnataka,Bangalore,560105,0,1
17-08-2025,Karnataka,Bangalore,562106,0,2
18-08-2025,Karnataka,Bangalore,560055,0,1
07-09-2025,Karnataka,Bangalore,560018,0,2
07-09-2025,Karnataka,Bangalore,560088,0,2
01-09-2025,Karnataka,Bangalore,561203,0,2
31-08-2025,Karnataka,Bangalore,560035,0,1
31-08-2025,Karnataka,Bangalore,560082,0,1
28-08-2025,Karnataka,Bangalore,560088,0,1
28-08-2025,Karnataka,Bangalore,562120,0,2
02-07-2025,Karnataka,Bangalore,562129,0,1
03-07-2025,Karnataka,Bangalore,560088,0,1
04-07-2025,Karnataka,Bangalore,560103,0,1
12-07-2025,Karnataka,Bangalore,560052,0,1
11-07-2025,Karnataka,Bangalore,561203,0,1
11-07-2025,Karnataka,Bangalore,562125,0,8
10-07-2025,Karnataka,Bangalore,560087,0,2
06-07-2025,Karnataka,Bangalore,560066,1,1
06-07-2025,Karnataka,Bangalore,560103,0,1
05-07-2025,Karnataka,Bangalore,560063,0,1
01-07-2025,Karnataka,Bangalore,560055,0,2
22-06-2025,Karnataka,Bangalore,560013,0,1
22-06-2025,Karnataka,Bangalore,560049,1,0
24-06-2025,Karnataka,Bangalore,560009,0,1
16-06-2025,Karnataka,Bangalore,560063,0,2
17-06-2025,Karnataka,Bangalore,560069,0,1
17-06-2025,Karnataka,Bangalore,562149,0,2
18-06-2025,Karnataka,Bangalore,560071,0,2
18-06-2025,Karnataka,Bangalore,560104,0,1
10-06-2025,Karnataka,Bangalore,560055,0,1
10-06-2025,Karnataka,Bangalore,560104,0,3
26-06-2025,Karnataka,Bangalore,560006,0,1
25-06-2025,Karnataka,Bangalore,560055,0,1
28-06-2025,Karnataka,Bangalore,560087,0,1
13-07-2025,Karnataka,Bangalore,560063,0,1
13-07-2025,Karnataka,Bangalore,560088,2,1
09-07-2025,Karnataka,Bangalore,562110,0,1
20-06-2025,Karnataka,Bangalore,560093,0,2
20-06-2025,Karnataka,Bangalore,560104,0,1
15-06-2025,Karnataka,Bangalore,560028,0,1
15-06-2025,Karnataka,Bangalore,560049,0,1
15-06-2025,Karnataka,Bangalore,560093,0,1
13-06-2025,Karnataka,Bangalore,560013,0,4
13-06-2025,Karnataka,Bangalore,561203,0,1
14-06-2025,Karnataka,Bangalore,560009,1,0
