date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Karnataka,Bangalore,560085,13,213
01-03-2025,Karnataka,Bangalore,560091,32,268
01-03-2025,Karnataka,Bangalore,560040,11,148
01-03-2025,Karnataka,Bangalore,560096,13,143
01-03-2025,Karnataka,Bangalore,560064,13,269
01-03-2025,Karnataka,Bangalore,560054,14,103
01-03-2025,Karnataka,Bangalore,560026,31,346
01-03-2025,Karnataka,Bangalore,562107,22,167
01-03-2025,Karnataka,Bangalore,560032,17,270
01-03-2025,Karnataka,Bangalore,560023,20,206
01-03-2025,Karnataka,Bangalore,560067,15,126
01-03-2025,Karnataka,Bangalore,562125,19,149
01-03-2025,Karnataka,Bangalore,560090,10,96
01-09-2025,Karnataka,Bangalore,560010,0,5
01-09-2025,Karnataka,Bangalore,560014,0,1
01-09-2025,Karnataka,Bangalore,560019,1,3
01-09-2025,Karnataka,Bangalore,560024,0,5
01-09-2025,Karnataka,Bangalore,560025,0,2
01-09-2025,Karnataka,Bangalore,560032,0,13
01-09-2025,Karnataka,Bangalore,560035,0,4
01-09-2025,Karnataka,Bangalore,560039,0,2
01-09-2025,Karnataka,Bangalore,560046,0,3
01-09-2025,Karnataka,Bangalore,560048,0,4
01-09-2025,Karnataka,Bangalore,560051,0,3
01-09-2025,Karnataka,Bangalore,560067,0,4
01-09-2025,Karnataka,Bangalore,560072,0,7
01-09-2025,Karnataka,Bangalore,560078,0,13
01-09-2025,Karnataka,Bangalore,560105,0,4
01-09-2025,Karnataka,Bangalore,562106,1,9
02-09-2025,Karnataka,Bangalore,560005,0,9
02-09-2025,Karnataka,Bangalore,560008,0,8
02-09-2025,Karnataka,Bangalore,560014,0,1
02-09-2025,Karnataka,Bangalore,560015,0,2
02-09-2025,Karnataka,Bangalore,560024,0,1
02-09-2025,Karnataka,Bangalore,560034,0,1
02-09-2025,Karnataka,Bangalore,560036,0,5
02-09-2025,Karnataka,Bangalore,560039,1,2
02-09-2025,Karnataka,Bangalore,560047,0,8
02-09-2025,Karnataka,Bangalore,560050,1,8
02-09-2025,Karnataka,Bangalore,560056,1,5
02-09-2025,Karnataka,Bangalore,560066,0,5
02-09-2025,Karnataka,Bangalore,560083,0,3
02-09-2025,Karnataka,Bangalore,560095,0,3
