date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Karnataka,Bangalore,560005,1,0,0
01-09-2025,Karnataka,Bangalore,560011,2,0,0
01-09-2025,Karnataka,Bangalore,560013,1,0,0
01-09-2025,Karnataka,Bangalore,560023,3,3,0
01-09-2025,Karnataka,Bangalore,560065,1,0,0
01-09-2025,Karnataka,Bangalore,560082,1,0,0
01-09-2025,Karnataka,Bangalore,560088,2,0,0
01-09-2025,Karnataka,Bangalore,560089,1,0,0
01-09-2025,Karnataka,Bangalore,560090,2,0,0
01-09-2025,Karnataka,Bangalore,560097,3,0,0
01-09-2025,Karnataka,Bangalore,560099,2,0,0
01-09-2025,Karnataka,Bangalore,562120,0,1,0
01-09-2025,Karnataka,Bangalore,562125,0,1,0
03-09-2025,Karnataka,Bangalore,560002,0,1,0
03-09-2025,Karnataka,Bangalore,560016,6,0,0
03-09-2025,Karnataka,Bangalore,560035,1,0,0
03-09-2025,Karnataka,Bangalore,560041,2,0,0
03-09-2025,Karnataka,Bangalore,560043,2,1,0
03-09-2025,Karnataka,Bangalore,560051,0,2,0
03-09-2025,Karnataka,Bangalore,560062,3,0,0
03-09-2025,Karnataka,Bangalore,560079,2,0,0
03-09-2025,Karnataka,Bangalore,560086,1,0,0
03-09-2025,Karnataka,Bangalore,560098,1,0,0
03-09-2025,Karnataka,Bangalore,560102,1,0,0
03-09-2025,Karnataka,Bangalore,562130,1,0,0
02-09-2025,Karnataka,Bangalore,560022,1,1,0
02-09-2025,Karnataka,Bangalore,560026,1,0,0
02-09-2025,Karnataka,Bangalore,560029,2,0,0
02-09-2025,Karnataka,Bangalore,560043,1,0,0
02-09-2025,Karnataka,Bangalore,560068,1,0,0
02-09-2025,Karnataka,Bangalore,560072,0,1,0
02-09-2025,Karnataka,Bangalore,560077,2,2,0
02-09-2025,Karnataka,Bangalore,560079,2,0,0
02-09-2025,Karnataka,Bangalore,560085,1,1,0
02-09-2025,Karnataka,Bangalore,560091,1,0,0
02-09-2025,Karnataka,Bangalore,560093,0,1,0
02-09-2025,Karnataka,Bangalore,560094,2,0,0
02-09-2025,Karnataka,Bangalore,560097,0,1,0
02-09-2025,Karnataka,Bangalore,560100,1,0,0
05-09-2025,Karnataka,Bangalore,560039,1,0,0
05-09-2025,Karnataka,Bangalore,560045,0,1,0
05-09-2025,Karnataka,Bangalore,560068,3,0,0
05-09-2025,Karnataka,Bangalore,560070,1,0,0
05-09-2025,Karnataka,Bangalore,560089,1,0,0
05-09-2025,Karnataka,Bangalore,562107,2,0,0
06-09-2025,Karnataka,Bangalore,560017,2,0,0
06-09-2025,Karnataka,Bangalore,560018,1,1,0
06-09-2025,Karnataka,Bangalore,560049,2,0,0
06-09-2025,Karnataka,Bangalore,560060,0,1,0
06-09-2025,Karnataka,Bangalore,560068,1,0,0
06-09-2025,Karnataka,Bangalore,560079,4,0,0
06-09-2025,Karnataka,Bangalore,560092,1,0,0
06-09-2025,Karnataka,Bangalore,562123,2,0,0
06-09-2025,Karnataka,Bangalore,562149,1,0,0
04-09-2025,Karnataka,Bangalore,560001,3,0,0
04-09-2025,Karnataka,Bangalore,560019,0,2,0
04-09-2025,Karnataka,Bangalore,560043,3,0,0
04-09-2025,Karnataka,Bangalore,560054,1,1,0
04-09-2025,Karnataka,Bangalore,560056,2,1,0
04-09-2025,Karnataka,Bangalore,560057,3,0,0
04-09-2025,Karnataka,Bangalore,560070,1,0,0
04-09-2025,Karnataka,Bangalore,560079,1,0,0
04-09-2025,Karnataka,Bangalore,560085,1,0,0
04-09-2025,Karnataka,Bangalore,560089,1,0,0
04-09-2025,Karnataka,Bangalore,560090,1,0,0
07-09-2025,Karnataka,Bangalore,560005,0,1,0
07-09-2025,Karnataka,Bangalore,560018,1,0,0
07-09-2025,Karnataka,Bangalore,560021,2,0,0
07-09-2025,Karnataka,Bangalore,560026,1,1,0
07-09-2025,Karnataka,Bangalore,560043,2,0,0
07-09-2025,Karnataka,Bangalore,560057,1,0,0
07-09-2025,Karnataka,Bangalore,560061,0,1,0
07-09-2025,Karnataka,Bangalore,560077,0,1,0
07-09-2025,Karnataka,Bangalore,560079,1,0,0
07-09-2025,Karnataka,Bangalore,560082,1,0,0
07-09-2025,Karnataka,Bangalore,560091,2,0,0
07-09-2025,Karnataka,Bangalore,560096,1,0,0
07-09-2025,Karnataka,Bangalore,562149,4,1,0
08-09-2025,Karnataka,Bangalore,560001,1,0,0
08-09-2025,Karnataka,Bangalore,560002,2,0,0
08-09-2025,Karnataka,Bangalore,560011,1,0,0
08-09-2025,Karnataka,Bangalore,560022,0,1,0
08-09-2025,Karnataka,Bangalore,560026,3,0,0
08-09-2025,Karnataka,Bangalore,560036,1,0,0
08-09-2025,Karnataka,Bangalore,560039,2,0,0
08-09-2025,Karnataka,Bangalore,560054,1,2,0
08-09-2025,Karnataka,Bangalore,560056,1,1,0
08-09-2025,Karnataka,Bangalore,560076,1,1,0
08-09-2025,Karnataka,Bangalore,560079,0,1,0
08-09-2025,Karnataka,Bangalore,560084,2,0,0
08-09-2025,Karnataka,Bangalore,560085,4,0,0
08-09-2025,Karnataka,Bangalore,560097,3,0,0
08-09-2025,Karnataka,Bangalore,562130,1,0,0
09-09-2025,Karnataka,Bangalore,560030,3,0,0
09-09-2025,Karnataka,Bangalore,560034,1,0,0
09-09-2025,Karnataka,Bangalore,560078,4,1,0
09-09-2025,Karnataka,Bangalore,560079,2,0,0
09-09-2025,Karnataka,Bangalore,560087,0,1,0
09-09-2025,Karnataka,Bangalore,560093,1,0,0
09-09-2025,Karnataka,Bangalore,560096,1,0,0
09-09-2025,Karnataka,Bangalore,560097,0,1,0
09-09-2025,Karnataka,Bangalore,560099,1,0,0
10-09-2025,Karnataka,Bangalore,560022,1,0,0
10-09-2025,Karnataka,Bangalore,560029,2,0,0
10-09-2025,Karnataka,Bangalore,560047,1,1,0
10-09-2025,Karnataka,Bangalore,560053,2,0,0
10-09-2025,Karnataka,Bangalore,560057,1,0,0
10-09-2025,Karnataka,Bangalore,560068,2,0,0
10-09-2025,Karnataka,Bangalore,560079,3,0,0
10-09-2025,Karnataka,Bangalore,560091,0,1,0
10-09-2025,Karnataka,Bangalore,560098,1,0,0
10-09-2025,Karnataka,Bangalore,560100,1,1,0
